0610007P14Rik	ORF11|RIKEN cDNA 0610007P14 gene
Cldn34b2	1700042B14Rik|claudin 34B2
Cldn34b3	Gm4937|claudin 34B3
Cldn34b4	4930428D18Rik|claudin 34B4
Cldn34c1	3110007F17Rik|claudin 34C1
Cldn34c2	Gm6604|claudin 34C2
Cldn34c3	Gm5167|claudin 34C3
Cldn34c4	4930412D23Rik|claudin 34C4
Cldn34d	4930468A15Rik|claudin 34D
Cldn4	Cpetr|Cpetr1|claudin 4
Cldn5	Tmvcf|claudin 5
Cldn6	claudin 6
Cldn7	claudin 7
Cldn8	claudin 8
Cldn9	nmf329|claudin 9
Cldnd1	Cldn25|1110019C08Rik|claudin domain containing 1
Cldnd2	1700071E18Rik|claudin domain containing 2
Clec10a	CD301a|Mgl1|C-type lectin domain family 10, member A
Clec11a	Clecsf3|Scgf|C-type lectin domain family 11, member a
Clec12a	Micl|C-type lectin domain family 12, member a
Clec12b	4933425B16Rik|C-type lectin domain family 12, member B
Clec14a	1200003C23Rik|C-type lectin domain family 14, member a
Clec16a	curt|4932416N17Rik|C-type lectin domain family 16, member A
Clec18a	Mrcl|C-type lectin domain family 18, member A
Clec1a	5930406N14Rik|C-type lectin domain family 1, member a
Clec1b	1810061I13Rik|Clec2|Clec-2|C-type lectin domain family 1, member b
Clec2d	Ocil|Clrb|Clr-b|C-type lectin domain family 2, member d
Clec2e	Clra|C-type lectin domain family 2, member e
Clec2f	Clrz|Clec2f-ps|Clrc|C-type lectin domain family 2, member f
Clec2g	4632413B12Rik|Ocilrp1|C-type lectin domain family 2, member g
Clec2h	Clrf|C-type lectin domain family 2, member h
Clec2i	Clr-g|Clrg|Dcl1|OCILrP2|C-type lectin domain family 2, member i
Clec2j	C-type lectin domain family 2, member J
Clec2l	LOC381758|C-type lectin domain family 2, member L
Clec3a	Clecsf1|1110019O10Rik|LOC330844|C-type lectin domain family 3, member a
Clec3b	Tna|C-type lectin domain family 3, member b
Clec4a1	mDcir4|C-type lectin domain family 4, member a1
Clec4a2	dendritic cell immunoreceptor|Dcir1|DCIR|Clecsf6|C-type lectin domain family 4, member a2
Clec4a3	mDcir3|3110037K17Rik|C-type lectin domain family 4, member a3
Clec4a4	Dcir2|C-type lectin domain family 4, member a4
Clec4b1	1810046I24Rik|mDcar2|DCARbeta|1810046I24Rik|DCAR|C-type lectin domain family 4, member b1
Clec4b2	mDCAR1|F830043G12Rik|C-type lectin domain family 4, member b2
Clec4d	mMCL|mcl|Mpcl|Clecsf8|C-type lectin domain family 4, member d
Clec4e	Mincle|Clecsf9|C-type lectin domain family 4, member e
Clec4f	Clecsf13|kupffer cell receptor|D18063|C-type lectin domain family 4, member f
Clec4g	4930572L20Rik|C-type lectin domain family 4, member g
Clec4n	dectin-2|Clecsf10|Nkcl|C-type lectin domain family 4, member n
Clec5a	MDL-1|myeloid DAP12-associating lectin-1|Ly100|Clecsf5|C-type lectin domain family 5, member a
Clec9a	9830005G06Rik|DNGR-1|C-type lectin domain family 9, member a
Clgn	4930459O04Rik|A2/6|Cln|calnexin-t|calmegin
Clhc1	1700034F02Rik|clathrin heavy chain linker domain containing 1
Clic1	G6|Clcp|chloride intracellular channel 1
Clic3	2300003G24Rik|chloride intracellular channel 3
Clic4	mc3s5|D0Jmb3|mtCLIC|chloride intracellular channel 4 (mitochondrial)
Clic5	5730531E12Rik|chloride intracellular channel 5
Clic6	5730466J16Rik|CLIC1L|chloride intracellular channel 6
Clint1	Epn4|C530049I24Rik|clathrin interactor 1
Clip1	4631429H07Rik|Rsn|Clip 170|restin|1110007I12Rik|cytoplasmic linker protein 50|Clip50|CLIP-170|CAP-GLY domain containing linker protein 1
Clip2	CLIP-115|Cyln2|WSCR4|CAP-GLY domain containing linker protein 2
Clip3	1500005P14Rik|CAP-GLY domain containing linker protein 3
Clip4	4833417L20Rik|Rsnl2|1700074B05Rik|5830409B12Rik|1700024K14Rik|CAP-GLY domain containing linker protein family, member 4
Clk1	Clk1|STY|CDC-like kinase 1
Clk2	CDC-like kinase 2
Clk3	CDC-like kinase 3
Clk4	CDC like kinase 4
Clmn	9330188N17Rik|calmin
Clmp	9030425E11Rik|CXADR-like membrane protein
Cln3	battenin|ceroid lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)
Cln5	A730075N08Rik|ceroid-lipofuscinosis, neuronal 5
Cln6	1810065L06Rik|D9Bwg1455e|ceroid-lipofuscinosis, neuronal 6
Cln8	ceroid-lipofuscinosis, neuronal 8
Clnk	MIST|cytokine-dependent hematopoietic cell linker
Clns1a	Clcni|2610100O04Rik|Clci|2610036D06Rik|ICLN|chloride channel, nucleotide-sensitive, 1A
Clock	bHLHe8|KAT13D|5330400M04Rik|circadian locomotor output cycles kaput
Clp1	CLP1, cleavage and polyadenylation factor I subunit
Clpb	Skd3|ClpB caseinolytic peptidase B
Clpp	D17Wsu160e|caseinolytic mitochondrial matrix peptidase proteolytic subunit
Clps	colipase, pancreatic
Clpsl2	LOC328788|Gm749|colipase-like 2
Clptm1	N14|HS9|cleft lip and palate associated transmembrane protein 1
Clptm1l	C130052I12Rik|CLPTM1-like
Clpx	caseinolytic mitochondrial matrix peptidase chaperone subunit
Clrn1	Ush3a|USH3|clarin-1|A130002D11Rik|clarin 1
Clrn2	EG624224|clarin 2
Clrn3	Tmem12|clarin 3
Clspn	E130314M08Rik|C85083|claspin
Clstn1	Cst-1|alcadein alpha|1810034E21Rik|calsyntenin-1|calsyntenin 1
Clstn2	CS2|2900042C18Rik|CSTN2|Cst-2|calsyntenin 2
Clstn3	CSTN3|alcadein-beta|Cst-3|calsyntenin 3
Clta	clathrin, light polypeptide (Lca)
Cltb	2310046E19Rik|clathrin, light polypeptide (Lcb)
Cltc	CHC|clathrin, heavy polypeptide (Hc)
Clu	Sgp-2|ApoJ|Sugp-2|complement lysis inhibitor|D14Ucla3|Sgp2|SP-40|Cli|Apolipoprotein J|testosterone repressed prostate message-2|clusterin
Cluap1	2310030D15Rik|2610111M03Rik|clusterin associated protein 1
Cluh	1300001I01Rik|clustered mitochondria (cluA/CLU1) homolog
Clvs1	4933402J24Rik|Rlbp1l1|clavesin 1
Clvs2	Rlbp1l2|A330019N05Rik|clavesin 2
Clybl	2310014M14Rik|Clb|0610033J05Rik|citrate lyase beta like
Cma1	MMCP-5|Mcp-5|Mcpt5|Mcp5|chymase 1, mast cell
Cma2	chymase 2, mast cell
Cmah	CMP-NeuAc hydroxylase|cytidine monophospho-N-acetylneuraminic acid hydroxylase
Cmas	CMP-Neu5Ac synthase|D6Bwg0250e|CMP-sialic acid synthetase|cytidine monophospho-N-acetylneuraminic acid synthetase
Cmbl	2310016A09Rik|carboxymethylenebutenolidase-like (Pseudomonas)
Cmc1	2010110K16Rik|2010312P05Rik|COX assembly mitochondrial protein 1
Cmc2	1110046L09Rik|2310061C15Rik|COX assembly mitochondrial protein 2
Cmc4	Mtcp1nb|C-x(9)-C motif containing 4
Cmip	5830471E12Rik|4933407C03Rik|c-Maf inducing protein
Cmklr1	Gpcr27|ChemR23|chemokine-like receptor 1
Cml1	1110002I11Rik|camello-like 1
Cml2	camello-like 2
Cml3	4833414A14Rik|4930583K21Rik|camello-like 3
Cml5	1810018F03Rik|camello-like 5
Cmpk1	Cmpk|0610011D08Rik|cytidine monophosphate (UMP-CMP) kinase 1
Cmpk2	1200004E04Rik|Tyki|TDKI|cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial
Cmss1	4930572F24Rik|2610528E23Rik|1110001A06Rik|cms small ribosomal subunit 1
Cmtm1	Cklfsf1|CKLFH1|CHLFH1a|CKLF-like MARVEL transmembrane domain containing 1
Cmtm2a	Cklf|1700063K20Rik|1700041N15Rik|ARR19|1700001K04Rik|Cklfsf2a|CKLF-like MARVEL transmembrane domain containing 2A
Cmtm2b	Cklfsf2b|1700013O04Rik|CKLF-like MARVEL transmembrane domain containing 2B
Cmtm3	BNAS2|9430096L06Rik|Cklfsf3|CKLF-like MARVEL transmembrane domain containing 3
Cmtm4	Cklfsf4|CKLF-like MARVEL transmembrane domain containing 4
Cmtm5	1500005P16Rik|Cklfsf5|2900052H21Rik|CKLF-like MARVEL transmembrane domain containing 5
Cmtm6	Cklfsf6|2810051A14Rik|CKLF-like MARVEL transmembrane domain containing 6
Cmtm7	Cklfsf7|CKLF-like MARVEL transmembrane domain containing 7
Cmtm8	Cklfsf8|2700018N07Rik|CKLF-like MARVEL transmembrane domain containing 8
Cmtr1	Ftsjd2|1300018I05Rik|cap methyltransferase 1
Cmtr2	Ftsjd1|C730036L12Rik|cap methyltransferase 2
Cmya5	2310076E21Rik|Myospryn|2310076E16Rik|cardiomyopathy associated 5
CN725425	Gm5807|cDNA sequence CN725425
Cnbd1	cyclic nucleotide binding domain containing 1
Cnbd2	4921517L17Rik|5430421B09Rik|cyclic nucleotide binding domain containing 2
Cnbp	Znf9|cellular nucleic acid binding protein
Cndp1	Cn1|carnosine dipeptidase 1 (metallopeptidase M20 family)
Cndp2	Pep1|Cn2|Pep-1|0610010E05Rik|Dip-2|CNDP dipeptidase 2 (metallopeptidase M20 family)
Cnep1r1	Tmem188|5033428A16Rik|CTD nuclear envelope phosphatase 1 regulatory subunit 1
Cnfn	2210418J09Rik|cornifelin
Cnga1	Cncg|cyclic nucleotide gated channel alpha 1
Cnga2	Cncg4|OCNC1|Cnca|cyclic nucleotide gated channel alpha 2
Cnga3	CNG3|cyclic nucleotide gated channel alpha 3
Cnga4	cyclic nucleotide gated channel alpha 4
Cngb1	Cngb1|BC016201|Cngb1b|cyclic nucleotide gated channel beta 1
Cngb3	CCNC2|CNG6|Cngbeta2|cyclic nucleotide gated channel beta 3
Cnih1	Cnih|cornichon homolog 1 (Drosophila)
Cnih2	Cnil|cornichon homolog 2 (Drosophila)
Cnih3	2900075G08Rik|cornichon homolog 3 (Drosophila)
Cnih4	D530030D03Rik|E430023H19Rik|cornichon homolog 4 (Drosophila)
Cnksr1	connector enhancer of kinase suppressor of Ras 1
Cnksr2	Cnk2|Ksr2|connector enhancer of kinase suppressor of Ras 2
Cnksr3	Magi1|Cnksr family member 3
Cnn1	calponin h1|CnnI|CN|calponin 1
Cnn2	h2-calponin|Calpo2|calponin 2
Cnn3	Calpo3|1600014M03Rik|calponin 3, acidic
Cnnm1	Acdp1|cyclin M1
Cnnm2	Acdp2|cyclin M2
Cnnm3	Acdp3|cyclin M3
Cnnm4	Acdp4|5430430O18Rik|cyclin M4
Cnot1	6030411K04Rik|CCR4-NOT transcription complex, subunit 1
Cnot10	2600001P13Rik|CCR4-NOT transcription complex, subunit 10
Cnot11	2410015L18Rik|D1Bwg0212e|CCR4-NOT transcription complex, subunit 11
Cnot2	2810470K03Rik|2600016M12Rik|CCR4-NOT transcription complex, subunit 2
Cnot3	A930039N10Rik|CCR4-NOT transcription complex, subunit 3
Cnot4	Not4hp|Not4h|Not4|CCR4-NOT transcription complex, subunit 4
Cnot6	A230103N10Rik|CCR4-NOT transcription complex, subunit 6
Cnot6l	4932442K20Rik|CCR4-NOT transcription complex, subunit 6-like
Cnot7	Caf1|CCR4-NOT transcription complex, subunit 7
Cnot8	1810022F04Rik|1500015I04Rik|CCR4-NOT transcription complex, subunit 8
Cnp	CNPase|Cnp1|Cnp-1|2',3'-cyclic nucleotide 3' phosphodiesterase
Cnppd1	1810031K17Rik|cyclin Pas1/PHO80 domain containing 1
Cnpy1	1500012D20Rik|9630008K15Rik|canopy 1 homolog (zebrafish)
Cnpy2	Zsig9|5330432A10Rik|D10Bwg1546e|Tmem4|canopy 2 homolog (zebrafish)
Cnpy3	2410050O22Rik|ERDA5|1600025D17Rik|CAG4A|Tnrc5|canopy 3 homolog (zebrafish)
Cnpy4	2610019P18Rik|canopy 4 homolog (zebrafish)
Cnr1	CB1R|CB1|cannabinoid receptor 1 (brain)
Cnr2	cannabinoid receptor 2 (spleen)|CB2-R|CB2|cannabinoid receptor 2 (macrophage)
Cnrip1	5330437A18Rik|1500041B16Rik|3110054C06Rik|cannabinoid receptor interacting protein 1
Cnst	9630058J23Rik|consortin, connexin sorting protein
Cntd1	1700051C09Rik|5430417M23Rik|cyclin N-terminal domain containing 1
Cntf	ciliary neurotrophic factor
Cntfr	Cntfralpha|ciliary neurotrophic factor receptor
Cntln	D530005L17Rik|B430108F07Rik|centlein, centrosomal protein
Cntn1	usl|F3cam|CNTN|contactin 1
Cntn2	D130012K04Rik|Tax|axonin|TAG-1|contactin 2
Cntn3	Pang|contactin 3
Cntn4	Axcam|BIG-2A|contactin 4
Cntn5	LOC244683|A830025P08Rik|NB-2|6720426O10Rik|contactin 5
Cntn6	NB-3|contactin 6
Cntnap1	Nrxn4|paranodin|shm|p190|Caspr|NCP1|contactin associated protein-like 1
Cntnap2	5430425M22Rik|Caspr2|contactin associated protein-like 2
Cntnap3	contactin associated protein-like 3
Cntnap4	Caspr4|E130114F09Rik|contactin associated protein-like 4
Cntnap5a	Caspr5-1|contactin associated protein-like 5A
Cntnap5b	C230078M14Rik|Caspr5-2|contactin associated protein-like 5B
Cntnap5c	contactin associated protein-like 5C
Cntrl	Cep110|Cep1|6720467O09Rik|Ma2a8|b2b1468Clo|IB3/5|centriolin
Cntrob	9830165K03Rik|Lip8|centrobin, centrosomal BRCA2 interacting protein
Coa3	Ccdc56|D11Ertd99e|1810033A19Rik|cytochrome C oxidase assembly factor 3
Coa4	5330414O08Rik|Chchd8|cytochrome c oxidase assembly factor 4
Coa5	6330578E17Rik|1700001A24Rik|Pet191|cytochrome C oxidase assembly factor 5
Coa6	1810063B05Rik|cytochrome c oxidase assembly factor 6
Coa7	Selrc1|D4Ertd796e|2010305A19Rik|cytochrome c oxidase assembly factor 7
Coasy	Ppat|Dpck|1300003G02Rik|Ukr1|Coenzyme A synthase
Cobl	C530045F18Rik|cordon-bleu WH2 repeat
Cobll1	Coblr1|D430044D16Rik|Cobl-like 1
Coch	D12H14S564E|Coch-5B2|coagulation factor C homolog (Limulus polyphemus)
Cog1	component of oligomeric golgi complex 1
Cog2	1190002B08Rik|2700012E02Rik|Cog2|component of oligomeric golgi complex 2
Cog3	component of oligomeric golgi complex 3
Cog4	D8Ertd515e|component of oligomeric golgi complex 4
Cog5	5430405C01Rik|GTC90|GOLTC1|component of oligomeric golgi complex 5
Cog6	component of oligomeric golgi complex 6
Cog7	5630400E24Rik|component of oligomeric golgi complex 7
Cog8	C87832|component of oligomeric golgi complex 8
Coil	p80-coilin|Cln80|coilin
Col10a1	Col10a-1|Col10|collagen, type X, alpha 1
Col11a1	C530001D20Rik|collagen, type XI, alpha 1
Col11a2	collagen, type XI, alpha 2
Col12a1	collagen, type XII, alpha 1
Col13a1	collagen, type XIII, alpha 1
Col14a1	5730412L22Rik|collagen, type XIV, alpha 1
Col15a1	collagen, type XV, alpha 1
Col16a1	A530052M23Rik|[a]1 (XVI) collagen|2700007F12Rik|collagen, type XVI, alpha 1
Col17a1	BP180|Bpag|Bpag2|BPAg2|collagen, type XVII, alpha 1
Col18a1	endostatin|collagen, type XVIII, alpha 1
Col19a1	collagen, type XIX, alpha 1
Col1a1	Cola-1|Mov-13|Cola1|Col1a-1|collagen, type I, alpha 1
Col1a2	Cola2|Col1a-2|Cola-2|collagen, type I, alpha 2
Col20a1	1700051I12Rik|collagen, type XX, alpha 1
Col22a1	2310067L16Rik|C80743|collagen, type XXII, alpha 1
Col23a1	2810458L13Rik|collagen, type XXIII, alpha 1
Col24a1	5430404K19Rik|collagen, type XXIV, alpha 1
Col25a1	2700062B08Rik|collagen, type XXV, alpha 1
Col26a1	Collagen XXVI|Emid2|9430032K24Rik|Emu2|collagen, type XXVI, alpha 1
Col27a1	5730512J02Rik|collagen, type XXVII, alpha 1
Col28a1	collagen, type XXVIII, alpha 1
Col2a1	Rgsc856|Lpk|Del1|M100856|Col2|Col2a-1|Col2a|collagen, type II, alpha 1
Col3a1	Tsk2|Col3a-1|Tsk-2|collagen, type III, alpha 1
Col4a1	Raw|Col4a-1|alpha1(IV) collagen|Del(8)Bru44H|Bru|Svc|Del(8)44H|collagen, type IV, alpha 1
Col4a2	Col4a-2|collagen, type IV, alpha 2
Col4a3	alpha3(IV)|tumstatin|collagen, type IV, alpha 3
Col4a3bp	9230101K08Rik|Cert|ceramide transport protein|GPBP|2810404O15Rik|collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
Col4a4	E130010M05Rik|[a]4(IV)|collagen, type IV, alpha 4
Col4a5	collagen, type IV, alpha 5
Col4a6	collagen, type IV, alpha 6
Col5a1	collagen, type V, alpha 1
Col5a2	1110014L14Rik|collagen, type V, alpha 2
Col5a3	Pro-alpha3(V)|collagen, type V, alpha 3
Col6a1	Col6a-1|collagen, type VI, alpha 1
Col6a2	Col6a-2|collagen, type VI, alpha 2
Col6a3	Col6a-3|collagen, type VI, alpha 3
Col6a4	1110001D15Rik|EG235580|Vwa6|Dvwa|collagen, type VI, alpha 4
Col6a5	Col6a5|Gm7455|collagen, type VI, alpha 5
Col6a6	E330026B02Rik|collagen, type VI, alpha 6
Col7a1	collagen, type VII, alpha 1
Col8a1	Col8a-1|collagen, type VIII, alpha 1
Col8a2	collagen, type VIII, alpha 2
Col9a1	Col9a-1|collagen, type IX, alpha 1
Col9a2	Col9a-2|collagen, type IX, alpha 2
Col9a3	collagen, type IX, alpha 3
Colec10	CL-L1|collectin sub-family member 10
Colec11	1010001H16Rik|collectin sub-family member 11
Colec12	SRCL|Scara4|CL-P1|collectin sub-family member 12
Colgalt1	2810024B22Rik|Glt25d1|collagen beta(1-O)galactosyltransferase 1
Colgalt2	Glt25d2|collagen beta(1-O)galactosyltransferase 2
Colq	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
Commd1	Murr1|COMM domain containing 1
Commd10	2310003A05Rik|DRWMS2|COMM domain containing 10
Commd2	D3Ertd176e|HSPC042|1190017G07Rik|COMM domain containing 2
Commd3	Bup|D2Ertd542e|COMM domain containing 3
Commd4	1110039H05Rik|COMM domain containing 4
Commd5	Hcarg|2310065H03Rik|D15Ertd81e|COMM domain containing 5
Commd6	1700063H17Rik|1110059J08Rik|COMM domain containing 6
Commd7	2310010I22Rik|mU3|COMM domain containing 7
Commd8	IMAGE:1958590|D5Buc26e|COMM domain containing 8
Commd9	1810029F08Rik|COMM domain containing 9
Comp	TSP5|thrombospondin-5|cartilage oligomeric matrix protein
Comt	D330014B15Rik|Comt1|D16Wsu103e|catechol-O-methyltransferase
Comtd1	1810030M08Rik|MT773|catechol-O-methyltransferase domain containing 1
Copa	xenin|coatomer protein complex subunit alpha
Copb1	Copb1|2610019B04Rik|coatomer protein complex, subunit beta 1
Copb2	coatomer protein complex, subunit beta 2 (beta prime)
Cope	Cope1|1110005D17Rik|coatomer protein complex, subunit epsilon
Copg1	D6Wsu16e|Copg|D6Ertd71e|coatomer protein complex, subunit gamma 1
Copg2	coatomer protein complex, subunit gamma 2
Coprs	1700029I03Rik|2410022L05Rik|MGC11316|COPR5|coordinator of PRMT5, differentiation stimulator
Cops2	alien homologue|alien-like|Csn2|Trip15|Sgn2|COP9 (constitutive photomorphogenic) homolog, subunit 2 (Arabidopsis thaliana)
Cops3	Sgn3|COP9 complex S3|Csn3|COP9 (constitutive photomorphogenic) homolog, subunit 3 (Arabidopsis thaliana)
Cops4	D5Ertd774e|COP9 complex S4|COP9 (constitutive photomorphogenic) homolog, subunit 4 (Arabidopsis thaliana)
Cops5	Jab1|COP9 complex S5|Sgn5|CSN5|JUN activation binding protein|COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana)
Cops6	Sgn3|VIP/MOV34|COP9 complex S6|COP9 (constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana)
Cops7a	D6Ertd35e|COP9 complex S7a|COP9 (constitutive photomorphogenic) homolog, subunit 7a (Arabidopsis thaliana)
Cops7b	COP9 complex S7b|D1Wsu66e|COP9 (constitutive photomorphogenic) homolog, subunit 7b (Arabidopsis thaliana)
Cops8	9430009J09Rik|Csn8|Sgn8|COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana)
Copz1	D4Ertd360e|5930435A22Rik|nonclathrin coat protein zeta1-COP|coatomer protein complex, subunit zeta 1
Copz2	nonclathrin coat protein zeta2-COP|1110012D12Rik|zeta2-COP|coatomer protein complex, subunit zeta 2
Coq10a	LOC210582|coenzyme Q10 homolog A (yeast)
Coq10b	1500041J02Rik|9530077A17Rik|1700030I21Rik|coenzyme Q10 homolog B (S. cerevisiae)
Coq2	2310002F18Rik|coenzyme Q2 homolog, prenyltransferase (yeast)
Coq3	C77934|coenzyme Q3 homolog, methyltransferase (yeast)
Coq4	D2Ertd97e|EST-MNCb4625|coenzyme Q4 homolog (yeast)
Coq5	1810014G04Rik|D5Ertd33e|coenzyme Q5 homolog, methyltransferase (yeast)
Coq6	5930427M12Rik|coenzyme Q6 homolog (yeast)
Coq7	clk-1|demethyl-Q 7
Coq9	2310005O14Rik|coenzyme Q9 homolog (yeast)
Corin	Lrp4|corin
Coro1a	Clabp|Lmb3|coronin 1|p57|coronin, actin binding protein 1A
Coro1b	coronin 2|coronin, actin binding protein 1B
Coro1c	coronin 3|coronin, actin binding protein 1C
Coro2a	coronin 4|IR10|9030208C03Rik|coronin, actin binding protein 2A
Coro2b	E130012P22Rik|coronin, actin binding protein, 2B
Coro6	clipin E|coronin 6
Coro7	0610011B16Rik|coronin 7
Cort	CST|PCST|cortistatin
Cotl1	1810074P22Rik|2010004C08Rik|coactosin-like 1 (Dictyostelium)
Cox10	2410004F01Rik|cytochrome c oxidase assembly protein 10
Cox11	2010004I09Rik|cytochrome c oxidase assembly protein 11
Cox14	2310016M24Rik|cytochrome c oxidase assembly protein 14
Cox15	2900026G05Rik|cytochrome c oxidase assembly protein 15
Cox16	1810055I05Rik|1810020G14Rik|cytochrome c oxidase assembly protein 16
Cox17	COX17|cytochrome c oxidase assembly protein 17
Cox18	cytochrome c oxidase assembly protein 18
Cox19	2810437L13Rik|1810074D02Rik|cytochrome c oxidase assembly protein 19
Cox20	Fam36a|2310005N03Rik|COX20 Cox2 chaperone
Cox4i1	Cox4|Cox4a|COXIV|cytochrome c oxidase subunit IV isoform 1
Cox4i2	Cox IV-2|Cox4b|cytochrome c oxidase subunit IV isoform 2
Cox5a	CcOX|cytochrome c oxidase subunit Va
Cox5b	cytochrome c oxidase subunit Vb
Cox6a1	VIaL|subunit VIaL (liver-type)|cytochrome c oxidase subunit VIa polypeptide 1
Cox6a2	subunit VIaH (heart-type)|VIaH|COXVIaH|cytochrome c oxidase subunit VIa polypeptide 2
Cox6b1	2010000G05Rik|cytochrome c oxidase, subunit VIb polypeptide 1
Cox6b2	COXVIB2|1700067P11Rik|cytochrome c oxidase subunit VIb polypeptide 2
Cox6c	cytochrome c oxidase subunit VIc
Cox7a1	COX7AM|COX7AH|COX7A|COX7AH|cytochrome c oxidase subunit VIIa 1
Cox7a2	COX7AL|Cox7a3|cytochrome c oxidase subunit VIIa 2
Cox7a2l	COX7RP|EB1|SIG81|COX7AR|SIG-81|cytochrome c oxidase subunit VIIa polypeptide 2-like
Cox7b	1110004F07Rik|cytochrome c oxidase subunit VIIb
Cox7b2	4930503B16Rik|cytochrome c oxidase subunit VIIb2
Cox7c	Cox7c1|COXVIIc|cytochrome c oxidase subunit VIIc
Cox8a	COX8L|COX VIII-L|cytochrome c oxidase subunit VIIIa
Cox8b	COX8H|COX VIII-H|cytochrome c oxidase subunit VIIIb
Cox8c	COX8-3|1700007F21Rik|COXVIII-3|cytochrome c oxidase subunit VIIIc
Cp	D3Ertd555e|ceruloplasmin
Cpa1	0910001L12Rik|carboxypeptidase A1, pancreatic
Cpa2	carboxypeptidase A2, pancreatic
Cpa3	MC-CPA|mMC-CPA|mast cell carboxypeptidase A|carboxypeptidase A3, mast cell
Cpa4	1110019K20Rik|carboxypeptidase A4
Cpa5	4930430M09Rik|carboxypeptidase A5
Cpa6	9030616D13Rik|carboxypeptidase A6
Cpb1	0910001A18Rik|2210008M23Rik|1810063F02Rik|carboxypeptidase B1 (tissue)
Cpb2	carboxypeptidase R|CPR|thrombin-activatable fibrinolysis inhibitor|1110032P04Rik|carboxypeptidase U|4930405E17Rik|TAFI|CPU|carboxypeptidase B2 (plasma)
Cpd	D830034L15Rik|carboxypeptidase D
Cpe	Cph1|CPH|Cph-1|carboxypeptidase H|carboxypeptidase E
Cpeb1	cytoplasmic polyadenylation element binding protein 1
Cpeb2	A630055H10Rik|cytoplasmic polyadenylation element binding protein 2
Cpeb3	4831444O18Rik|cytoplasmic polyadenylation element binding protein 3
Cpeb4	4930447D24Rik|cytoplasmic polyadenylation element binding protein 4
Cped1	A430107O13Rik|cadherin-like and PC-esterase domain containing 1
Cphx1	C330003B14Rik|Cphx|Eso-1|cytoplasmic polyadenylated homeobox 1
Cphx2	Gm2104|cytoplasmic polyadenylated homeobox 2
Cphx3	Gm2135|cytoplasmic polyadenylated homeobox 3
Cplx1	921-S|complexin 1
Cplx2	921-L|complexin 2
Cplx3	Lman1l|CpxIII|complexin 3
Cplx4	A930004D23Rik|complexin 4
Cpm	1110060I01Rik|5730456K23Rik|carboxypeptidase M
Cpn1	50 kDa|0610011F20Rik|CPN|carboxypeptidase N, polypeptide 1
Cpn2	1300018K11Rik|carboxypeptidase N, polypeptide 2
Cpne1	1810028N16Rik|copine I
Cpne2	3322401K10Rik|copine II
Cpne3	CPN3|5430428M23Rik|PRO1071|5730450C07Rik|copine III
Cpne4	3632411M23Rik|4933406O10Rik|copine IV
Cpne5	A830083G22Rik|copine V
Cpne6	neuronal copine|copine VI
Cpne7	copine VII
Cpne8	1500031E20Rik|1200003E11Rik|copine VIII
Cpne9	A730016F12Rik|copine family member IX
Cpox	nct|Cpo|cac|clone 560|coproporphyrinogen oxidase
Cpped1	C530044N13Rik|calcineurin-like phosphoesterase domain containing 1
Cpq	HLS2|1190003P12Rik|Lal-1|2610034C17Rik|Pgcp|carboxypeptidase Q
Cps1	D1Ucla3|4732433M03Rik|CPSase I|CPS|carbamoyl-phosphate synthetase 1
Cpsf1	cleavage and polyadenylation specific factor 1
Cpsf2	2610024B04Rik|100kDa|Cpsf|cleavage and polyadenylation specific factor 2
Cpsf3	73 kDa|cleavage and polyadenylation specificity factor 3
Cpsf3l	2410006F12Rik|cleavage and polyadenylation specific factor 3-like
Cpsf4	30kDa|cleavage and polyadenylation specific factor 4
Cpsf4l	1500000C01Rik|D11Ertd636e|0610010C04Rik|cleavage and polyadenylation specific factor 4-like
Cpsf6	4733401N12Rik|CFIM68|HPBRII-4|HPBRII-7|cleavage and polyadenylation specific factor 6
Cpsf7	C330017N18Rik|5730453I16Rik|cleavage and polyadenylation specific factor 7
Cpt1a	L-CPT I|Cpt1|CPTI|carnitine palmitoyltransferase 1a, liver
Cpt1b	Cpt1|M-CPT I|M-CPTI|carnitine palmitoyltransferase 1b, muscle
Cpt1c	CPT I-C|9630004I06Rik|carnitine palmitoyltransferase 1c
Cpt2	CPT II|CPTII|carnitine palmitoyltransferase 2
Cptp	Gltpd1|ceramide-1-phosphate transfer protein
Cpvl	4933436L16Rik|carboxypeptidase, vitellogenic-like
Cpxcr1	LOC382239|CPX chromosome region, candidate 1
Cpxm1	Cpx-1|carboxypeptidase X 1 (M14 family)
Cpxm2	4632435C11Rik|carboxypeptidase X 2 (M14 family)
Cpz	carboxypeptidase Z
Cr1l	Crry|mCRY|complement component (3b/4b) receptor 1-like
Cr2	Cr1|CD21|Cr-1|Cr-2|C3DR|CD35|complement receptor 2
Crabp1	Crabp-1|Rbp-5|CrabpI|cellular retinoic acid binding protein I
Crabp2	CrabpII|Crabp-2|cellular retinoic acid binding protein II
